name|Price|Raiting|Votes|5|3|Pointer Device|Web Camera|Included Software|HDD Capacity|Keyboard|Brand|Audio I/O Channels|Sales Package|Ideal For|RAID Configurations|
[]|['18']|['Rs. 35,990                ']|['8']|['3.9']|['Dell Inspiron 15 3537 Laptop (4th Gen Ci3/ 4GB/ 500GB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['54']|['Rs. 43,900                ']|['30']|['4.3']|['HP 15-d103tx Notebook (4th Gen Ci5/ 4GB/ 500GB/ Free DOS/ 2GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['34']|[]|['19']|['4.4']|['HP Pavilion 15-p045TX Notebook (4th Gen Ci7/ 8GB/ 1TB/ Win8.1/ 2GB Graph) (J2C71PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['61']|['Rs. 31,990                ']|['26']|['4.3']|['Dell Inspiron 15 3521 Laptop (3rd Gen Ci3/ 4GB/ 500GB/ Ubuntu)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['28']|['Rs. 19,620                ']|['14']|['4.1']|['Asus X200CA-KX018D Netbook (CDC/ 2GB/ 500GB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['14']|['Rs. 35,270                ']|['4']|['3.4']|['HP 15-r022TU Notebook (4th Gen Ci3/ 4GB/ 1TB/ Win8.1) (J2C55PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['13']|['Rs. 42,800                ']|['8']|['3.9']|['Lenovo FLEX 2-14 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1/ Touch) (59-413529)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['30']|['Rs. 28,500                ']|['19']|['3.7']|['Asus X552CL-SX019D Laptop (3rd Gen Ci3/ 4GB/ 500GB/ DOS/ 1GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['18']|['Rs. 24,430                ']|['13']|['3.2']|['Dell Inspiron 11 3000 Netbook (4th Gen CDC/ 2GB/ 500GB/ Win8/ Touch)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['14']|['Rs. 31,000                ']|['6']|['3.6']|['Dell Vostro 14 V3446 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Ubuntu/ 2 GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
