"Listing","cost","date","blank","amenities","Address","Bedrooms","Bathrooms","Balconies","Furnished","Possession Status","Floor Number","Total Floors","Units on the Floor ","Carpet/Builtup Area ","Additional Rooms ","Facing ","Overlooking ","Age of Construction ","Transaction Type ","Type of Ownership ","Units Available ","Plot Area ","Possession By",
5 BHK, 2831 Sq-ft Flat For Sale","5.70Crore","Dec2014","PipedGasAirConditionedReservedParkingParkSecurityWaterStorageLiftPowerBackUpVisitorParkingSwimmingPool","Common Wealth Games Village, East Facing, Commonwealth Games Village 2010, Patparganj, New Delhi - East","5","6","5","Semi-Furnished","Ready to Move","6 ","9 ","1 ","N/A","Servant Room","East ","Garden/Park ","New Construction","New Property","Freehold","1","N/A","N/A"
2 BHK, 975 Sq-ft Flat For Sale","31.25Lac","Dec2014","Internet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackBanquetHallWaterStorageConferenceRoomService/GoodsLiftBar/LoungeVisitorParkingCafeteria/FoodCourtReservedParkingParkOutdoorTennisCourtsSecurityLaundryServiceLiftPowerBackUpClubHouseRainWaterHarvestingGymnasiumSwimmingPool","near Nirmal Dhaam, Dwarka Sector 21, New Delhi - Dwarka - 110076","2","2","2","Semi-Furnished","Under Construction","6 ","15 ","460 ","N/A","N/A","North - East ","Garden/Park , Pool , Main Road ","N/A","New Property","Freehold","300","N/A","Dec, 18"
2 BHK, 1000 Sq-ft Flat For Sale","1.10Crore","Dec2714","Internet/Wi-FiConnectivityAirConditionedIntercomFacilityMaintenanceStaffReservedParkingParkSecurityLaundryServiceWaterStorageDTHTelevisionFacilityVisitorParking","I.p.extension, Indraprastha Extension, Patparganj, New Delhi - East - 110092","2","2","N/A","Semi-Furnished","Ready to Move","2 ","4 ","N/A","N/A","Store","North ","Garden/Park , Main Road ","15 to 20 years","Resale","Freehold","N/A","N/A","N/A"
3 BHK, 2300 Sq-ft Flat For Sale","1.85Crore","Dec2714","Internet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackWaterStorageService/GoodsLiftConferenceRoomVisitorParkingReservedParkingParkSecurityLiftPowerBackUpClubHouseRainWaterHarvesting","PRAGYA APARTMENT, SECTOR-2 , DWARKA , NEW DELHI, Dwarka Sector 2, New Delhi - Dwarka - 110075","3","4","4","Unfurnished","Ready to Move","5 ","10 ","4 ","","","","","","","","Servant Room","","N/A"
4 BHK, 2600 Sq-ft Flat For Sale","3.50Crore","Dec2714","ROWaterSystemIntercomFacilityMaintenanceStaffReservedParkingParkSecurityWaterStorageLiftPowerBackUpConferenceRoomRainWaterHarvestingVisitorParking","5TH FLOOR SHIVANI APARTMENTS, Dwarka Sector 12, New Delhi - Dwarka - 110077","4","4","4","Unfurnished","Ready to Move","5 ","10 ","4 ","","","","","Servant Room","North - East ","Garden/Park , Main Road ","Less than 5 years","N/A","N/A"
1 BHK, 500 Sq-ft Builder Floor Apartment For Sale","23.11Lac","Dec2714","PrivateTerrace/GardenVaastuCompliantIntercomFacilityMaintenanceStaffWasteDisposalWaterStorageBanquetHallDTHTelevisionFacilityVisitorParkingCafeteria/FoodCourtReservedParkingSecurityLiftPowerBackUpRainWaterHarvestingGymnasium","Uttam Nagar, New-Delhi, Delhi-NCR., Uttam Nagar, New Delhi - West - 110059","1","1","1","Furnished","Ready to Move","2 ","3 ","N/A","N/A","Store","East ","Main Road ","New Construction","New Property","Freehold","12","N/A","N/A"
2 BHK, 510 Sq-ft Builder Floor Apartment For Sale","29.0Lac","Dec2714","MaintenanceStaffSecurityVisitorParking","Mahavir enclave., Mahavir Enclave, New Delhi - Dwarka - 110045","2","1","N/A","Semi-Furnished","Ready to Move","2 ","4 ","N/A","N/A","N/A","West ","N/A","New Construction","New Property","Freehold","N/A","N/A","N/A"
3 BHK, 150 Sq-yrd Builder Floor Apartment For Sale","2.50Crore(Negotiable)","Dec2714","VaastuCompliantReservedParkingLiftVisitorParking","Safdarjung Enclave, New Delhi., Safdarjung Enclave, New Delhi - South","3","2","N/A","Semi-Furnished","Ready to Move","2 ","4 ","N/A","N/A","N/A","N/A","N/A","New Construction","Resale","N/A","N/A","N/A","N/A"
3 BHK, 1800 Sq-ft Flat For Sale","1.85Crore","Dec2614","ROWaterSystemVaastuCompliantPipedGasIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackWaterStorageService/GoodsLiftConferenceRoomVisitorParkingReservedParkingParkOutdoorTennisCourtsSecurityLaundryServiceLiftPowerBackUpRainWaterHarvesting","Sector-18, Dwarka, Dwarka Sector 18, New Delhi - Dwarka - 110075","3","3","4","Semi-Furnished","Ready to Move","3 ","8 ","3 ","","","","","Puja Room, Servant Room","North - East ","Garden/Park ","Less than 5 years","N/A","N/A"
3 BHK, 1300 Sq-ft Flat For Sale","1.69Crore","Dec2614","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenReservedParkingParkJoggingandStrollingTrackPowerBackUpConferenceRoomRainWaterHarvesting","ipextension patparganj, Patparganj, New Delhi - East - 110092","3","2","2","Semi-Furnished","Ready to Move","Ground ","4 ","N/A","","","","","","","","Store","","N/A"
3 BHK, 1500 Sq-ft Flat For Sale","1.50Crore","Dec2614","VaastuCompliantPipedGasIntercomFacilityMaintenanceStaffReservedParkingWasteDisposalParkJoggingandStrollingTrackOutdoorTennisCourtsSecurityWaterStorageLiftPowerBackUpService/GoodsLiftRainWaterHarvesting","Sector-2, Dwarka., Dwarka Sector 2, New Delhi - Dwarka - 110075","3","2","N/A","Semi-Furnished","Ready to Move","7 ","7 ","4 ","","","","","Study","North - East ","Garden/Park ","Less than 5 years","N/A","N/A"
2 BHK, 520 Sq-ft Flat For Sale","27.0Lac","Dec2614","VaastuCompliantWaterStoragePowerBackUpVisitorParking","Mahavir Enclave, Delhi, Mahavir Enclave Part 1, New Delhi - Dwarka - 110045","2","1","1","Semi-Furnished","Ready to Move","1 ","4 ","1 ","N/A","N/A","North - East ","Main Road ","New Construction","New Property","Freehold","2","N/A","N/A"
3 BHK, 900 Sq-ft Builder Floor Apartment For Sale","45.0Lac","Dec2614","ROWaterSystemVaastuCompliantWaterStorageVisitorParking","B-1/63 Sewak Park Dwarka More,Near NSIT Collage,Sector-3 Dwarka, Dwarka Mor, New Delhi - Dwarka - 110059","3","2","1","Semi-Furnished","Ready to Move","3 ","3 ","2 ","","N/A","","","","West ","Main Road ","New Construction","N/A","N/A"
3 BHK, 1850 Sq-ft Flat For Sale","1.85Crore","Dec2614","VaastuCompliantPipedGasIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackWaterStorageDTHTelevisionFacilityVisitorParkingReservedParkingParkOutdoorTennisCourtsSecurityLaundryServiceLiftPowerBackUpRainWaterHarvesting","Sec-11, Plot-5B, Dwarka, Dwarka Sector 11, New Delhi - Dwarka - 110075","3","2","3","Semi-Furnished","Ready to Move","5 ","9 ","4 ","","","","","Study","North - East ","Garden/Park , Main Road ","Less than 5 years","N/A","N/A"
2 BHK, 560 Sq-ft Builder Floor Apartment For Sale","22.0Lac","Dec2614","IntercomFacilityReservedParking","Uttam Nagar West., Uttam Nagar, New Delhi - West - 110059","2","1","1","Semi-Furnished","Ready to Move","1 ","4 ","2 ","","N/A","","","","West ","N/A","N/A","N/A","N/A"
2 BHK, 540 Sq-ft Flat For Sale","30.0Lac","Dec2714","VaastuCompliantReservedParkingWasteDisposalWaterStorage","Uttam Nagar, New-Delhi, Delhi-NCR., Uttam Nagar, New Delhi - West - 110059","2","2","N/A","Semi-Furnished","Ready to Move","1 ","8 ","N/A","N/A","N/A","","N/A","","","North ","New Construction","","N/A"
3 BHK, 1650 Sq-ft Flat For Sale","1.35Crore","Dec2614","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasAirConditionedMaintenanceStaffWasteDisposalJoggingandStrollingTrackBanquetHallWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftBar/LoungeVisitorParkingCafeteria/FoodCourtReservedParkingParkOutdoorTennisCourtsSecurityLaundryServiceLiftPowerBackUpClubHouseRainWaterHarvestingGymnasium","sec 4, dwarka, delhi, Dwarka Sector 4, New Delhi - Dwarka - 110075","3","2","3","Semi-Furnished","Ready to Move","2 ","8 ","2 ","","N/A","","","","","","","","N/A"
3 BHK, 120 Sq-yrd Builder Floor Apartment For Sale","1.10Crore","Dec2614","PipedGasReservedParkingWasteDisposalParkJoggingandStrollingTrackSecurityWaterStorageLiftRainWaterHarvestingVisitorParking","A-block sec-8 dwarka near queens vally school, A-block, New Delhi - Dwarka - 110075","3","3","1","Semi-Furnished","Ready to Move","1 ","4 ","1 ","N/A","Puja Room","North - East ","Garden/Park , Main Road ","New Construction","New Property","Freehold","4","N/A","N/A"
4 BHK, 2200 Sq-ft Flat For Sale","1.65Crore","Dec2614","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasIntercomFacilityMaintenanceStaffWasteDisposalWaterStorageBanquetHallDTHTelevisionFacilityConferenceRoomService/GoodsLiftVisitorParkingReservedParkingParkSecurityLaundryServicePowerBackUpRainWaterHarvesting","Dwarka Sector 19, Dwarka Sector 19, New Delhi - Dwarka - 110075","4","3","2","Unfurnished","Ready to Move","6 ","10 ","N/A","","","","N/A","","Store","North - East ","N/A","N/A","N/A"
3 BHK, 1460 Sq-ft Flat For Sale","1.90Crore","Dec2614","Internet/Wi-FiConnectivityVaastuCompliantPipedGasMaintenanceStaffParkJoggingandStrollingTrackSecurityLaundryServiceWaterStorageLiftService/GoodsLiftVisitorParking","vasant kunj south delhi., Vasant Kunj Sector D, New Delhi - South - 110070","3","2","3","Unfurnished","Ready to Move","8 ","8 ","N/A","N/A","Store","North - East ","Garden/Park , Main Road ","Less than 5 years","Resale","Freehold","N/A","N/A","N/A"
3 BHK, 715 Sq-ft Builder Floor Apartment For Sale","34.25Lac(Negotiable)","Dec2614","ROWaterSystemVaastuCompliantIntercomFacilityReservedParkingWasteDisposalWaterStorageDTHTelevisionFacilityRainWaterHarvestingVisitorParking","Uttam Nagar, New Delhi., Uttam Nagar, New Delhi - West - 110059","3","2","N/A","Furnished","Ready to Move","2 ","4 ","N/A","N/A","N/A","North - East ","Main Road ","New Construction","New Property","Freehold","3","N/A","N/A"
