
"
 The product was delivered by BLUE DART and every time they delivered the ordered product from FLIPKART, they asked for the payment even when the payment had already been made online. 
This is the third time they did this. 
However there is no issue with the product itself, book was in a very good condition. ","10 Oct 2014","PROBLEM RELATED TO DELIVERY OF THE PRODUCT","1","TUSHAR MITTAL","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"Graphs help to do questions in a very easy way ..and this book serves the purpose really well. Its a well written book. Recommended to every body preparing for competitive exams....","22 Aug 2014","Must Have book","5","Rahul Shakya","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"One of those books that give u knowledge not just education.. Very helpful book in understanding various functions and how they are plotted and their unique identities..i read this book to relax myself from other studies as it really is very interesting and complicated (in a good way)","26 Jul 2014","must buy for every maths lover","5","ritik verma","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"It includes all the graphs as well as there transformation in questions! very useful and worth buying it..","10 Jul 2014","Best for beginers!!","5","","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"PROS:-
1) Theory explanations.
2) Question Bank.(veryyyy vast amount of questions)
3) Covers all the topics of Physical chem.
4) Excellent questions.
5) IIT Trainer.
6) Cheap
========================================================
CONS:-
1) Fat
2) Difficult to understand.
3) Explanations are a bit complex.
4) Practice questions are tougher than expected.
5) Not fit for SELF STUDY.
========================================================
CONCLUSION:-
this book is very good for training you in physical chemistry but certainly not the best.
very soon you will get bored. questions given for practice are tougher as theory and examples are not much related with it. 
but this book has tried to explain the concepts of physical chemistry in the best possible way a book can.","12 Jan 2013","PROS AND CONS","4","Vivek Anand","http://www.flipkart.com/modern-approach-chemical-calculations-pb-english/product-reviews/itmdyufk76hgeg6h?pid=9788177096415&srno=b_25&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"Simply put,a no-nonsense book that makes you work towards mastery of the concepts of Physical Chemistry and honing them while solving the very well organised numericals in the book.And the effort put in shows.....when it matters.","17 Nov 2011","Among the Best","5","Kunal Kaushik","http://www.flipkart.com/modern-approach-chemical-calculations-pb-english/product-reviews/itmdyufk76hgeg6h?pid=9788177096415&srno=b_25&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"I used this book when i was preparing for JEE. Learning steps in other subjects include understanding the theory and then solving problems whereas in physical chemistry its the other way around. You need to practice more and more to understand the concepts.
Once you understand the basics well then solving problems from this book becomes fun. You need to master the early chapters well to get comfortable in the later chapters of this book.
A must-have for competitive exam aspirants.","15 Jun 2012","A HC Verma for Physical Chemistry.","5","Aditya Rawal","http://www.flipkart.com/modern-approach-chemical-calculations-pb-english/product-reviews/itmdyufk76hgeg6h?pid=9788177096415&srno=b_25&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"Just go get your copy of the book and be blown away by its essence.This book might make you addicted to Physical Chemistry. So my dear friends dont think, just buy it.It explains physical chemistry through the concept of mole,hence making it simple to understand and there are numerous examples to get you running along.","15 Jul 2012","Must have for everyone","5","H Sharma","http://www.flipkart.com/modern-approach-chemical-calculations-pb-english/product-reviews/itmdyufk76hgeg6h?pid=9788177096415&srno=b_25&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"This is a kind of BOOKKK.... recommended by every teacher and student....But i thought what is so special about this BOOK? according to me it was an ordinary BOOK.But as it was suggested by my teacher, so i decided to get this BOOK from d best known FLIPKRT!After placing the order,i got d BOOK in only 2 days due to flipkart s fastest delivery.But as i considered it to be an ordinary BOOK so i kept it at d corner of my table beneath all my books.i didn t even bother to open the BOOK.But one day in my leisure time SUDDENLY i decided to have a look at the BOOK...........and what i found was unimaginable...its a huge surprise......CAN u guess what it was?If NO then find it at once....GET this BOOK now HURRRRRYYYY....Don t wait ,just","03 Jul 2012","BEYOND EXPECTATION.....................","5","jintu kalita","http://www.flipkart.com/modern-approach-chemical-calculations-pb-english/product-reviews/itmdyufk76hgeg6h?pid=9788177096415&srno=b_25&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"
 It is the best book for clearing concepts and basics which is the most required aspect in IIT.
It is better then any other IIT JEE preparation book in market , even better than O.P. Tandon ","22 Apr 2015","Better than Best","5","Nishant Thakkar","http://www.flipkart.com/modern-approach-chemical-calculations-pb-english/product-reviews/itmdyufk76hgeg6h?pid=9788177096415&srno=b_25&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
