"name"|"cost"|"discount"|"originalPrice"|"ratings"|"noReviews"|"votes"|"Product Weight"|"Product Depth"|"Product Width"|"Product Height"|"Country of Manufacture"|"Age Group"|"Type"|"Series"|"Filling Material"|"Size"|"Washable"|"Ideal For"|"Number of Contents"|"Character"|"Rechargeable"|"Powered by"|"Battery Type"|" "|" Hamleys is available online exclusively on Flipkart. "|"Height"|"Width"|"Depth"|"External Material"|"Machine Washable"|"Brand"|"With Pillow Cover"|"Ideal Usage"|"Model Name"|"Model ID"|"Color"|"Sales Package"|" For Safety Sake, Remove All Tags and Plastic Loops Before Giving this Item to the Child "|"Weight"|"Sound Support"|" The color of the delivered product may vary from what is shown in the image "|" Customer may get any one of the two product based on availability "|" Color may slightly vary. "|" The design of the giraffe may slightly vary from what is shown in the image "|" Ribbons may vary "|" Color and Style of the Bow may vary "|" Exact color of product may vary from the color in the image "|" The bow color of the delivered doll may vary from what is shown in the image "|" The ribbon color and the design may vary from what is shown in the image. "|" The color of bow of the delivered product may vary from what is shown in the image "|" The design of the delivered product may slightly vary from what is shown in the image "|" The color of the product displayed may differ from the actual product, Due to scarcity of this product, color of muffler may vary. "|" Color may slightly vary "|" Color may vary. "|" Product displayed on the website may slightly vary. "|" Color of the ball might vary "|" Colour of the Pot might Vary "|""|ImageURL"
Soft Buddies Lying Bull Dog - Small - GoldenB - 15 inch|179|10%|199||||80 g|13 inch|6 inch|N/A|India|3 - 14 Years|Pets & Animals|N/A|100% Polyester Staple Fibre|15 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Cloud.b Twilight Turtle Constellation Night Light - 4 inch|1290|40%|2150||||572 g|9 inch|12 inch|N/A|China|1 - 12 Years|Pets & Animals|N/A|N/A|4 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Dimpy Stuff Lion - 6 inch|299|||5|||250 g|N/A|N/A|N/A|India|3 - 12 Years|Cushions & Pillows|N/A|N/A|6, 6 inch|N/A|Boys, Girls|N/A|N/A|N/A|Non Battery|N/A|1 Stuff Toy|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Perfect Petzzz Pug|2999|||5|||840 g|N/A|N/A|N/A|China|3 - 7 Years|Pets & Animals|N/A|N/A|N/A|N/A|Boys, Girls|N/A|N/A|No|Battery|1 Alkaline Battery|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tickles Teddy Cushion - 13 inch|499|44%|900||||250 g|2 inch|10 inch|N/A|India|3 - 12 Years|Cushions & Pillows|Teddy|Fiber|Medium, 13 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Angry Birds Plush|499|9%|549|4.1|||40 g|8.27 inch|8.66 inch|11.81 inch|China|6 - 12 Years|N/A|N/A|N/A|8 inch|N/A|Boys, Girls|1|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tickles Rabbit with Carrot - 7 inch|305|6%|327||||100 g|3 inch|4.3 inch|6.6 inch|India|2 - 10 Years|Pets & Animals|Animal Shop|Fiber|Medium, 7 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Prince Playable Dog - 27 Inch|849|50%|1699||||500 g|12.1 inch|6 inch|N/A|China|3 - 5 Years|Pets & Animals|N/A|N/A|27 Inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Hamleys Harp Seal - 18 inch|1299||||||N/A|N/A|N/A|N/A|N/A|Pets & Animals|Boys, Girls|N/A|N/A|Non Battery|N/A|18 inch|N/A|N/A|N/A|1 Soft Toy|N/A|N/A|3 - 12 Years|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Animal Planet Heart Shaped Cushion Butterfly - 13.5 inch|299|||2.5|||126 g|4 inch|13.2 inch|13.5 inch|N/A|4 - 15 Years|Cushions & Pillows|N/A|N/A|13.5 inch|Yes|Boys, Girls|N/A|N/A|N/A|Non Battery|N/A|Heart Shaped Cushion Butterfly|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tickles Cat? - 10 Inch|389|18%|480||||200 g|4 inch|5 inch|N/A|India|3 - 12 Years|Pets & Animals|Animal Shop|Fiber|Medium, 10 Inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Soft Buddies Standing Giraffe - 11 inch|359|10%|399||||100 g|12.5 inch|5.5 inch|N/A|India|3 - 14 Years|Pets & Animals|N/A|100% Polyester Staple Fibre|11 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Angry Birds Back Pack Clip - 3 inch|199|9%|219|4.5|||40 g|2.36 inch|3.74 inch|6.3 inch|China|6 - 12 Years|Cartoon Characters|N/A|N/A|3 inch|N/A|Girls, Boys|1|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
